user_id,username,full_name,department,role,location,hostname,device_id,status,hire_date,termination_date,manager_username,failed_login_count,successful_login_count,mfa_failure_count,average_iam_risk,maximum_iam_risk,total_iam_events,total_firewall_events,firewall_deny_count,firewall_threat_count,total_bytes_sent,total_bytes_received,total_endpoint_alerts,critical_endpoint_alerts,high_endpoint_alerts,invalid_resolution_alerts,hostname_endpoint_alerts,authentication_risk,network_risk,endpoint_risk,iam_risk_contribution,zero_trust_risk_score,risk_level,zero_trust_action,insider_threat_indicator,signal_failed_login,signal_mfa_failure,signal_high_iam_risk,signal_firewall_deny,signal_firewall_threat,signal_endpoint_alert,signal_critical_endpoint,signal_high_endpoint,signal_extreme_iam_risk,insider_threat_score,insider_risk_level,recommended_action,security_signal_count,threat_confidence,threat_classification,threat_explanation,priority
EMP12851,kamala.raman22,Kamala Raman,Supply Chain,Officer,Work_From_Home,WS-12851.CORP.LOCAL,DEV27730,Enabled,1600603977,,MANAGER138,15.0,31.0,18.0,41.86,100.0,50.0,1.0,1.0,1.0,43089.0,4224947.0,9.0,0.0,0.0,1.0,0.0,201.0,13.0,18.0,20.93,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,0,0,1,100.0,CRITICAL,BLOCK,5,HIGH,LIKELY INSIDER THREAT,15 failed login attempts + 18 MFA failures + 1 firewall threat events + 9 endpoint alerts + maximum IAM risk 100/100,1
EMP10393,aarini.deep10,Aarini Deep,IT Support,Administrator,head office,WS-10393,DEV 44226,On_Leave,18/08/2020,not available,manager484,21.0,33.0,26.0,52.56060606060606,100.0,66.0,8.0,5.0,0.0,89296438.0,76241523.0,2.0,0.0,1.0,0.0,2.0,287.0,15.0,12.0,26.28030303030303,100.0,CRITICAL,BLOCK,1,1,1,0,1,0,1,0,1,1,100.0,CRITICAL,BLOCK,6,VERY HIGH,LIKELY INSIDER THREAT,21 failed login attempts + 26 MFA failures + 5 firewall DENY events + 2 endpoint alerts + 1 high-severity endpoint alerts + maximum IAM risk 100/100,1
EMP10251,aarini.memon10,Aarini Memon,IT Support,Director,REMOTE,VDR-10251,DEV 18357,A,2020-07-06 04:59:07,,unknown,23.0,33.0,29.0,43.888888888888886,100.0,63.0,5.0,2.0,0.0,28297637.0,117462320.0,5.0,1.0,0.0,1.0,4.0,318.0,6.0,25.0,21.944444444444443,100.0,CRITICAL,BLOCK,1,1,1,0,0,0,1,1,0,1,100.0,CRITICAL,BLOCK,5,HIGH,LIKELY INSIDER THREAT,23 failed login attempts + 29 MFA failures + 5 endpoint alerts + 1 critical endpoint alerts + maximum IAM risk 100/100,1
EMP12219,dalaja.lata76,Dalaja Lata,Compliance,Executive,DATA CENTER,WS-12219,DEV33203,Live,16/02/2025,not available,,4.0,3.0,5.0,43.0,95.0,8.0,14.0,4.0,2.0,95356321.0,180946026.0,5.0,1.0,0.0,0.0,5.0,55.0,32.0,25.0,21.5,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,1,0,1,100.0,CRITICAL,BLOCK,6,VERY HIGH,LIKELY INSIDER THREAT,4 failed login attempts + 5 MFA failures + 2 firewall threat events + 5 endpoint alerts + 1 critical endpoint alerts + maximum IAM risk 95/100,1
EMP12425,jeet.rajagopalan64,Jeet Rajagopalan,Research and Development,Officer,data center,LPT-12425,DEV 51114,Active,,not available,unknown,26.0,33.0,25.0,45.55223880597015,100.0,67.0,9.0,3.0,2.0,119159348.0,82708487.0,2.0,0.0,1.0,0.0,2.0,305.0,29.0,12.0,22.776119402985078,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,0,1,1,100.0,CRITICAL,BLOCK,6,VERY HIGH,LIKELY INSIDER THREAT,26 failed login attempts + 25 MFA failures + 2 firewall threat events + 2 endpoint alerts + 1 high-severity endpoint alerts + maximum IAM risk 100/100,1
EMP10486,thomas.kaul29,Thomas Kaul,Sales,Consultant,Remote,WS-10486,DEV48479,Live,2026-05-27 10:04:33,,manager586,3.0,3.0,5.0,54.875,99.0,8.0,7.0,1.0,1.0,68400760.0,62339113.0,7.0,1.0,2.0,0.0,7.0,50.0,13.0,45.0,27.4375,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,1,1,1,100.0,CRITICAL,BLOCK,7,VERY HIGH,LIKELY INSIDER THREAT,3 failed login attempts + 5 MFA failures + 1 firewall threat events + 7 endpoint alerts + 2 high-severity endpoint alerts + 1 critical endpoint alerts + maximum IAM risk 99/100,1
EMP10296,osha.kapur39,Osha Kapur,IT,Director,Remote,VDR-10296,DEV 59792,Blocked,,08-19-2024 06:56:50 PM,,34.0,40.0,37.0,51.0,100.0,78.0,14.0,3.0,1.0,213724795.0,197523382.0,4.0,0.0,1.0,0.0,4.0,429.0,19.0,16.0,25.5,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,0,1,1,100.0,CRITICAL,BLOCK,6,VERY HIGH,LIKELY INSIDER THREAT,34 failed login attempts + 37 MFA failures + 1 firewall threat events + 4 endpoint alerts + 1 high-severity endpoint alerts + maximum IAM risk 100/100,1
EMP10912,mohammed.devan20,Mohammed Devan,Operations,Consultant,Work_From_Home,LPT-10912,DEV 26119,Deactivated,26/09/2023,not available,,25.0,35.0,25.0,54.84507042253521,100.0,71.0,2.0,1.0,0.0,42334356.0,29055.0,7.0,1.0,0.0,2.0,6.0,300.0,3.0,29.0,27.422535211267604,100.0,CRITICAL,BLOCK,1,1,1,0,0,0,1,1,0,1,100.0,CRITICAL,BLOCK,5,HIGH,LIKELY INSIDER THREAT,25 failed login attempts + 25 MFA failures + 7 endpoint alerts + 1 critical endpoint alerts + maximum IAM risk 100/100,1
EMP12579,balveer.nair93,Balveer Nair,IT,Executive,Regional Office,VDR-12579,DEV 22006,Active,17/04/2021 21:25,not available,unknown,24.0,34.0,22.0,47.095238095238095,100.0,63.0,7.0,2.0,0.0,109889141.0,180167138.0,5.0,1.0,0.0,0.0,4.0,274.0,6.0,25.0,23.547619047619047,100.0,CRITICAL,BLOCK,1,1,1,0,0,0,1,1,0,1,100.0,CRITICAL,BLOCK,5,HIGH,LIKELY INSIDER THREAT,24 failed login attempts + 22 MFA failures + 5 endpoint alerts + 1 critical endpoint alerts + maximum IAM risk 100/100,1
EMP10108,aahana.samra10,Aahana Samra,Research and Development,Administrator,remote,VDR-10108,DEV62098,Live,1666035452,not available,unknown,5.0,1.0,4.0,46.333333333333336,100.0,6.0,11.0,4.0,3.0,150394278.0,95041684.0,2.0,1.0,0.0,0.0,2.0,53.0,42.0,19.0,23.166666666666668,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,1,0,1,100.0,CRITICAL,BLOCK,6,VERY HIGH,LIKELY INSIDER THREAT,5 failed login attempts + 4 MFA failures + 3 firewall threat events + 2 endpoint alerts + 1 critical endpoint alerts + maximum IAM risk 100/100,1
EMP11817,brinda.iyer33,Brinda Iyer,Research and Development,Director,,VDR-11817,DEV70975,Working,27/09/2021 22:58,,manager525,18.0,26.0,21.0,43.75,100.0,56.0,12.0,3.0,1.0,203581291.0,181967770.0,4.0,0.0,0.0,0.0,4.0,237.0,19.0,8.0,21.875,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,0,0,1,100.0,CRITICAL,BLOCK,5,HIGH,LIKELY INSIDER THREAT,18 failed login attempts + 21 MFA failures + 1 firewall threat events + 4 endpoint alerts + maximum IAM risk 100/100,1
EMP11241,bhavani.shetty89,Bhavani Shetty,IT Support,Consultant,Branch Office,WS-11241,,D,2021/12/23,2025/04/04,manager317,16.0,38.0,20.0,51.41935483870968,100.0,62.0,6.0,4.0,0.0,94124006.0,47499673.0,4.0,0.0,0.0,1.0,3.0,220.0,12.0,8.0,25.70967741935484,100.0,CRITICAL,BLOCK,1,1,1,0,0,0,1,0,0,1,100.0,CRITICAL,BLOCK,4,HIGH,LIKELY INSIDER THREAT,16 failed login attempts + 20 MFA failures + 4 endpoint alerts + maximum IAM risk 100/100,1
EMP11763,rachita.baria48,Rachita Baria,Customer Support,Administrator,DATA CENTER,LPT-11763,DEV 96017,Active,1688769300,not available,manager140,17.0,42.0,27.0,49.72857142857143,100.0,70.0,5.0,3.0,0.0,50781348.0,35141623.0,1.0,1.0,0.0,0.0,1.0,274.0,9.0,17.0,24.864285714285717,100.0,CRITICAL,BLOCK,1,1,1,0,0,0,1,1,0,1,100.0,CRITICAL,BLOCK,5,HIGH,LIKELY INSIDER THREAT,17 failed login attempts + 27 MFA failures + 1 endpoint alerts + 1 critical endpoint alerts + maximum IAM risk 100/100,1
EMP10644,janani.rajagopalan6,Janani Rajagopalan,Call Center,Director,Warehouse,VDR-10644,DEV16461,Live,2023-09-27T15:30:44,not available,manager411,23.0,22.0,25.0,49.3921568627451,100.0,51.0,10.0,3.0,3.0,69832334.0,60429570.0,3.0,0.0,0.0,0.0,3.0,290.0,39.0,6.0,24.69607843137255,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,0,0,1,100.0,CRITICAL,BLOCK,5,HIGH,LIKELY INSIDER THREAT,23 failed login attempts + 25 MFA failures + 3 firewall threat events + 3 endpoint alerts + maximum IAM risk 100/100,1
EMP11801,ekiya.jaggi5,Ekiya Jaggi,Legal,Consultant,Head Office,LPT-11801,DEV-21792,Live,08-May-2021 05:31:54,,manager812,20.0,49.0,20.0,50.88157894736842,100.0,76.0,10.0,4.0,2.0,186537217.0,93840850.0,0.0,0.0,0.0,0.0,0.0,240.0,32.0,0.0,25.44078947368421,100.0,CRITICAL,BLOCK,0,1,1,0,0,1,0,0,0,1,100.0,CRITICAL,BLOCK,4,HIGH,LIKELY INSIDER THREAT,20 failed login attempts + 20 MFA failures + 2 firewall threat events + maximum IAM risk 100/100,1
EMP11117,yagnesh.bhardwaj90,Yagnesh Bhardwaj,Call Center,Consultant,branch office,VDR-11117,,On Leave,,,manager143,25.0,33.0,28.0,48.95238095238095,100.0,63.0,12.0,3.0,3.0,53412029.0,233202762.0,4.0,0.0,0.0,0.0,4.0,321.0,39.0,8.0,24.476190476190474,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,0,0,1,100.0,CRITICAL,BLOCK,5,HIGH,LIKELY INSIDER THREAT,25 failed login attempts + 28 MFA failures + 3 firewall threat events + 4 endpoint alerts + maximum IAM risk 100/100,1
EMP12726,kamya.rana5,Kamya Rana,IT,Executive,data center,WS-12726,,Active,2020/12/07,not available,manager629,5.0,6.0,6.0,58.36363636363637,100.0,11.0,11.0,1.0,3.0,274194479.0,245269140.0,3.0,1.0,0.0,0.0,2.0,67.0,33.0,21.0,29.181818181818183,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,1,0,1,100.0,CRITICAL,BLOCK,6,VERY HIGH,LIKELY INSIDER THREAT,5 failed login attempts + 6 MFA failures + 3 firewall threat events + 3 endpoint alerts + 1 critical endpoint alerts + maximum IAM risk 100/100,1
EMP12651,aishani.pillai56,Aishani Pillai,Human Resources,Specialist,regional office,LPT-12651,DEV-41619,Deactivated,2024/06/25,1743577595,MANAGER980,3.0,4.0,3.0,56.0,100.0,7.0,16.0,4.0,3.0,282828044.0,242234807.0,5.0,1.0,1.0,0.0,4.0,36.0,42.0,33.0,28.0,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,1,1,1,100.0,CRITICAL,BLOCK,7,VERY HIGH,LIKELY INSIDER THREAT,3 failed login attempts + 3 MFA failures + 3 firewall threat events + 5 endpoint alerts + 1 high-severity endpoint alerts + 1 critical endpoint alerts + maximum IAM risk 100/100,1
EMP11411,zaid.raval52,Zaid Raval,Brand,Officer,WAREHOUSE,VDR-11411,DEV-96424,Enabled,2025-01-15T06:22:35,,MANAGER848,24.0,42.0,34.0,46.23287671232877,100.0,73.0,4.0,1.0,0.0,64849124.0,63847520.0,5.0,1.0,1.0,0.0,5.0,358.0,3.0,33.0,23.116438356164384,100.0,CRITICAL,BLOCK,1,1,1,0,0,0,1,1,1,1,100.0,CRITICAL,BLOCK,6,VERY HIGH,LIKELY INSIDER THREAT,24 failed login attempts + 34 MFA failures + 5 endpoint alerts + 1 high-severity endpoint alerts + 1 critical endpoint alerts + maximum IAM risk 100/100,1
EMP12678,aadhya.saraf43,Aadhya Saraf,Procurement,Director,Remote,VDR-12678,DEV 88793,Active,06-24-2020 08:36:29 AM,not available,MANAGER348,20.0,38.0,22.0,47.9375,100.0,64.0,9.0,3.0,1.0,56662391.0,137077651.0,2.0,1.0,0.0,0.0,2.0,254.0,19.0,19.0,23.96875,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,1,0,1,100.0,CRITICAL,BLOCK,6,VERY HIGH,LIKELY INSIDER THREAT,20 failed login attempts + 22 MFA failures + 1 firewall threat events + 2 endpoint alerts + 1 critical endpoint alerts + maximum IAM risk 100/100,1
EMP12418,warda.dua80,Warda Dua,Marketing,Executive,HEAD OFFICE,WS-12418,DEV59411,Active,22/08/2025 15:09,,manager626,27.0,40.0,25.0,44.02739726027397,100.0,73.0,14.0,4.0,2.0,216025978.0,244731102.0,2.0,1.0,0.0,0.0,2.0,310.0,32.0,19.0,22.013698630136982,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,1,0,1,100.0,CRITICAL,BLOCK,6,VERY HIGH,LIKELY INSIDER THREAT,27 failed login attempts + 25 MFA failures + 2 firewall threat events + 2 endpoint alerts + 1 critical endpoint alerts + maximum IAM risk 100/100,1
EMP12505,radhika.bath93,Radhika Bath,Procurement,Executive,Work_From_Home,LPT-12505,DEV-68365,Active,1590451676,,manager251,22.0,45.0,29.0,43.87837837837838,100.0,74.0,11.0,3.0,2.0,156366770.0,110736945.0,2.0,0.0,0.0,0.0,1.0,313.0,29.0,4.0,21.93918918918919,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,0,0,1,100.0,CRITICAL,BLOCK,5,HIGH,LIKELY INSIDER THREAT,22 failed login attempts + 29 MFA failures + 2 firewall threat events + 2 endpoint alerts + maximum IAM risk 100/100,1
EMP11039,vritti.khalsa6,Vritti Khalsa,Customer Support,Director,,WS-11039,DEV13105,Working,2026-03-26 22:58:52,,manager348,5.0,3.0,5.0,46.7,100.0,10.0,9.0,2.0,2.0,107505406.0,107399548.0,4.0,1.0,1.0,0.0,3.0,60.0,26.0,31.0,23.35,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,1,1,1,100.0,CRITICAL,BLOCK,7,VERY HIGH,LIKELY INSIDER THREAT,5 failed login attempts + 5 MFA failures + 2 firewall threat events + 4 endpoint alerts + 1 high-severity endpoint alerts + 1 critical endpoint alerts + maximum IAM risk 100/100,1
EMP12738,devika.bhargava75,Devika Bhargava,Procurement,Executive,WORK FROM HOME,VDR-12738,DEV 90702,Enabled,26/10/2024,,unknown,22.0,37.0,28.0,55.01538461538462,100.0,65.0,7.0,0.0,1.0,50590890.0,123441154.0,4.0,1.0,1.0,0.0,4.0,306.0,10.0,31.0,27.50769230769231,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,1,1,1,100.0,CRITICAL,BLOCK,7,VERY HIGH,LIKELY INSIDER THREAT,22 failed login attempts + 28 MFA failures + 1 firewall threat events + 4 endpoint alerts + 1 high-severity endpoint alerts + 1 critical endpoint alerts + maximum IAM risk 100/100,1
EMP10667,nathaniel.dhaliwal53,Nathaniel Dhaliwal,IT,Officer,Remote,VDR-10667,DEV-98892,Active,,not available,manager691,5.0,4.0,6.0,32.666666666666664,80.0,9.0,8.0,4.0,1.0,114166922.0,144725341.0,5.0,1.0,1.0,0.0,2.0,67.0,22.0,33.0,16.333333333333332,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,1,1,0,100.0,CRITICAL,BLOCK,6,VERY HIGH,LIKELY INSIDER THREAT,5 failed login attempts + 6 MFA failures + 1 firewall threat events + 5 endpoint alerts + 1 high-severity endpoint alerts + 1 critical endpoint alerts,1
EMP10872,vanya.upadhyay82,Vanya Upadhyay,Research and Development,Analyst,branch office,LPT-10872,,Active,04-21-2020 10:04:59 AM,not available,manager267,6.0,2.0,6.0,57.77777777777778,100.0,9.0,11.0,2.0,2.0,101868126.0,133867949.0,4.0,1.0,0.0,1.0,3.0,72.0,26.0,23.0,28.88888888888889,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,1,0,1,100.0,CRITICAL,BLOCK,6,VERY HIGH,LIKELY INSIDER THREAT,6 failed login attempts + 6 MFA failures + 2 firewall threat events + 4 endpoint alerts + 1 critical endpoint alerts + maximum IAM risk 100/100,1
EMP12546,reva.nayak73,Reva Nayak,IT,Analyst,work from home,WS-12546,DEV 38336,Active,2020-10-04 23:45:27,,manager897,18.0,36.0,23.0,52.31147540983606,100.0,61.0,11.0,3.0,1.0,191136400.0,166713429.0,3.0,0.0,0.0,0.0,2.0,251.0,19.0,6.0,26.15573770491803,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,0,0,1,100.0,CRITICAL,BLOCK,5,HIGH,LIKELY INSIDER THREAT,18 failed login attempts + 23 MFA failures + 1 firewall threat events + 3 endpoint alerts + maximum IAM risk 100/100,1
EMP11015,eiravati.dyal26,Eiravati Dyal,IT,Executive,data center,LPT-11015,DEV-62328,Enabled,1644097441,,manager682,3.0,1.0,4.0,38.8,80.0,5.0,13.0,5.0,3.0,232651590.0,162488496.0,5.0,1.0,0.0,1.0,5.0,43.0,45.0,25.0,19.4,100.0,CRITICAL,BLOCK,1,1,1,0,1,1,1,1,0,0,100.0,CRITICAL,BLOCK,6,VERY HIGH,LIKELY INSIDER THREAT,3 failed login attempts + 4 MFA failures + 5 firewall DENY events + 3 firewall threat events + 5 endpoint alerts + 1 critical endpoint alerts,1
EMP11300,,Ekantika Venkataraman,IT,Specialist,data center,LPT-11300,,Ooo,1703439657,,unknown,4.0,4.0,5.0,50.875,94.0,8.0,11.0,0.0,3.0,103495397.0,167023572.0,6.0,1.0,0.0,0.0,5.0,55.0,30.0,27.0,25.4375,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,1,0,1,100.0,CRITICAL,BLOCK,6,VERY HIGH,LIKELY INSIDER THREAT,4 failed login attempts + 5 MFA failures + 3 firewall threat events + 6 endpoint alerts + 1 critical endpoint alerts + maximum IAM risk 94/100,1
EMP10262,ekaraj_bhatnagar68,Ekaraj Bhatnagar,Operations,Director,DATA CENTER,LPT-10262,DEV-49306,Active,06-01-2026 09:20:29 PM,,  manager346  ,3.0,6.0,5.0,65.77777777777777,100.0,9.0,12.0,5.0,2.0,185263777.0,183155018.0,2.0,2.0,0.0,0.0,2.0,50.0,35.0,34.0,32.888888888888886,100.0,CRITICAL,BLOCK,1,1,1,0,1,1,1,1,0,1,100.0,CRITICAL,BLOCK,7,VERY HIGH,LIKELY INSIDER THREAT,3 failed login attempts + 5 MFA failures + 5 firewall DENY events + 2 firewall threat events + 2 endpoint alerts + 2 critical endpoint alerts + maximum IAM risk 100/100,1
EMP10317,girik.merchant23,Girik Merchant,Customer Support,Executive,Data Center,WS-10317,DEV28388,Active,02-Nov-2023 05:04:11,,manager986,9.0,3.0,7.0,59.083333333333336,100.0,12.0,5.0,0.0,1.0,49392921.0,24161977.0,5.0,0.0,1.0,0.0,5.0,94.0,10.0,18.0,29.541666666666668,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,0,1,1,100.0,CRITICAL,BLOCK,6,VERY HIGH,LIKELY INSIDER THREAT,9 failed login attempts + 7 MFA failures + 1 firewall threat events + 5 endpoint alerts + 1 high-severity endpoint alerts + maximum IAM risk 100/100,1
EMP12391,pooja.iyengar59,Pooja Iyengar,Operations,Analyst,Data_Center,WS-12391,,Active,2025-03-09 04:28:39,,manager868,3.0,2.0,4.0,62.142857142857146,100.0,7.0,9.0,2.0,2.0,26603628.0,119498518.0,4.0,1.0,1.0,0.0,4.0,43.0,26.0,31.0,31.071428571428573,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,1,1,1,99.43,CRITICAL,BLOCK,7,VERY HIGH,LIKELY INSIDER THREAT,3 failed login attempts + 4 MFA failures + 2 firewall threat events + 4 endpoint alerts + 1 high-severity endpoint alerts + 1 critical endpoint alerts + maximum IAM risk 100/100,1
EMP10930,,Janani Dasgupta,Legal,Executive,Branch Office,VDR-10930,,Working,2023-11-23T01:32:25,,,6.0,3.0,7.0,45.7,89.0,10.0,14.0,3.0,4.0,231565783.0,189742243.0,1.0,0.0,0.0,0.0,1.0,79.0,49.0,2.0,22.85,100.0,CRITICAL,BLOCK,1,1,1,0,0,1,1,0,0,0,99.14,CRITICAL,BLOCK,4,HIGH,LIKELY INSIDER THREAT,6 failed login attempts + 7 MFA failures + 4 firewall threat events + 1 endpoint alerts,1
